Sõna: NANNE, Tulemus: Õnnestus, Katseid: 2
Sõna: BLACK, Tulemus: Ebaõnnestus, Katseid: 6
Sõna: BLACK, Tulemus: Õnnestus, Katseid: 3
Sõna: METSA, Tulemus: Õnnestus, Katseid: 3
Sõna: METSA, Tulemus: Õnnestus, Katseid: 2
Sõna: METSA, Tulemus: Õnnestus, Katseid: 3
Sõna: PARIM, Tulemus: Ebaõnnestus, Katseid: 6
Sõna: GUBBY, Ebaõnnestus, katseid: 6
Sõna: MEOWR, Õnnestus, katseid: 3
Sõna: GUBBY, Õnnestus, katseid: 2
Sõna: MEOWR, Õnnestus, katseid: 3
Sõna: MEOWR, Ebaõnnestus, katseid: 6
Sõna: VAHEM, Õnnestus, katseid: 5
